found flag name = just_a_test
found flag dataset = /home/ubuntu/data/chicago_taxi/chicago_taxi_trips_sort3.bin
found flag workload = /home/ubuntu/correlations/continuous/chicago_taxi_combined/queries_entangled_5_w2000_uniform.dat
found flag visitor = index
found flag mapping-file = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.mapping
found flag outlier-list = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.outliers
found flag target-bucket-file = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.targets
found flag save = results/just_a_test.dat
Dimension is 9
Loaded 1000 queries
Loaded dataset and workload
Found 320285 outliers
Reading 337 mapped buckets
mapping
Finished loading mapping-file
Finished loading target-buckets-file
Finished coaslescing map
Sorting data...
Initialized Correlation Index with column 5
Time to sort and finalize data: 0.101248s
Not using datacubes
Compression time: 8.73938s
Indexer sizei (B): 2765920
Index creation time: 8.85495s
Starting queries...
True: 4609, scanned range = 342100, scanned list = 3930
True: 25, scanned range = 0, scanned list = 25
True: 134, scanned range = 5733, scanned list = 126
True: 17, scanned range = 0, scanned list = 17
True: 16695925, scanned range = 194067415, scanned list = 0
True: 25274, scanned range = 854881, scanned list = 19027
True: 3, scanned range = 0, scanned list = 3
True: 16, scanned range = 0, scanned list = 16
True: 1464, scanned range = 40427, scanned list = 1394
True: 1, scanned range = 0, scanned list = 1
True: 26, scanned range = 0, scanned list = 26
True: 35, scanned range = 0, scanned list = 35
True: 22220, scanned range = 855955, scanned list = 17114
True: 4, scanned range = 0, scanned list = 4
True: 2209, scanned range = 53907, scanned list = 2111
True: 3905, scanned range = 115246, scanned list = 3623
True: 4, scanned range = 0, scanned list = 4
True: 25, scanned range = 0, scanned list = 25
True: 3730, scanned range = 114699, scanned list = 3459
True: 1, scanned range = 0, scanned list = 1
True: 1126, scanned range = 29324, scanned list = 1084
True: 17, scanned range = 0, scanned list = 17
True: 218, scanned range = 5356, scanned list = 210
True: 1515, scanned range = 24941, scanned list = 1481
True: 213, scanned range = 5356, scanned list = 206
True: 3872, scanned range = 115246, scanned list = 3589
True: 26, scanned range = 816, scanned list = 25
True: 3, scanned range = 0, scanned list = 3
True: 1, scanned range = 0, scanned list = 1
True: 19, scanned range = 0, scanned list = 19
True: 56, scanned range = 1763, scanned list = 54
True: 10736, scanned range = 352055, scanned list = 9492
True: 45636, scanned range = 1369550, scanned list = 28881
True: 1079, scanned range = 12523, scanned list = 1065
True: 149, scanned range = 798, scanned list = 147
True: 13, scanned range = 0, scanned list = 13
True: 136, scanned range = 2327, scanned list = 134
True: 16, scanned range = 0, scanned list = 16
True: 3, scanned range = 0, scanned list = 3
True: 27520, scanned range = 855339, scanned list = 20362
True: 26, scanned range = 0, scanned list = 26
True: 1367, scanned range = 21898, scanned list = 1340
True: 192932394, scanned range = 194069490, scanned list = 0
True: 71, scanned range = 460, scanned list = 70
True: 69, scanned range = 460, scanned list = 68
True: 57, scanned range = 460, scanned list = 56
True: 10928, scanned range = 352055, scanned list = 9653
True: 52, scanned range = 1763, scanned list = 50
True: 16841, scanned range = 752186, scanned list = 13541
True: 16, scanned range = 0, scanned list = 16
True: 6773300, scanned range = 194063554, scanned list = 0
True: 29, scanned range = 816, scanned list = 28
True: 929, scanned range = 11231, scanned list = 915
True: 11574925, scanned range = 194065028, scanned list = 0
True: 149, scanned range = 798, scanned list = 147
True: 8567, scanned range = 343100, scanned list = 7558
True: 6675896, scanned range = 194063554, scanned list = 0
True: 64, scanned range = 2712, scanned list = 63
True: 39944, scanned range = 1368367, scanned list = 26178
True: 39, scanned range = 0, scanned list = 39
True: 194, scanned range = 5034, scanned list = 187
True: 11345, scanned range = 360170, scanned list = 9998
True: 19, scanned range = 0, scanned list = 19
True: 16643, scanned range = 752186, scanned list = 13446
True: 27, scanned range = 816, scanned list = 30
True: 63752, scanned range = 2084624, scanned list = 37880
True: 1140, scanned range = 37811, scanned list = 1088
True: 3000, scanned range = 97840, scanned list = 2798
True: 127, scanned range = 4190, scanned list = 120
True: 138, scanned range = 1147, scanned list = 136
True: 923, scanned range = 11231, scanned list = 909
True: 13959932, scanned range = 194066562, scanned list = 0
True: 37, scanned range = 0, scanned list = 37
True: 1148, scanned range = 13050, scanned list = 1135
True: 1698, scanned range = 44683, scanned list = 1620
True: 144, scanned range = 1147, scanned list = 142
True: 72345, scanned range = 2086216, scanned list = 41445
True: 66, scanned range = 1954, scanned list = 64
True: 1163, scanned range = 31294, scanned list = 1116
True: 2194, scanned range = 53907, scanned list = 2098
True: 4037, scanned range = 116880, scanned list = 3751
True: 179, scanned range = 4169, scanned list = 171
True: 8, scanned range = 0, scanned list = 8
True: 4314, scanned range = 116880, scanned list = 4007
True: 207, scanned range = 5188, scanned list = 199
True: 5, scanned range = 0, scanned list = 5
True: 14282327, scanned range = 194066562, scanned list = 0
True: 177, scanned range = 3759, scanned list = 170
True: 1544705, scanned range = 149234577, scanned list = 25340
True: 66, scanned range = 1954, scanned list = 64
True: 2925, scanned range = 97320, scanned list = 2725
True: 13195, scanned range = 756506, scanned list = 10603
True: 1337, scanned range = 21320, scanned list = 1311
True: 49, scanned range = 0, scanned list = 49
True: 135, scanned range = 2327, scanned list = 132
True: 3806635, scanned range = 194062987, scanned list = 0
True: 5, scanned range = 0, scanned list = 5
True: 219, scanned range = 5356, scanned list = 211
True: 66, scanned range = 1954, scanned list = 64
True: 140, scanned range = 1147, scanned list = 138
True: 53, scanned range = 1763, scanned list = 51
True: 1079, scanned range = 12523, scanned list = 1065
True: 2280, scanned range = 53907, scanned list = 2179
True: 141, scanned range = 1147, scanned list = 139
True: 1141, scanned range = 37811, scanned list = 1088
True: 287, scanned range = 5962, scanned list = 278
True: 1143, scanned range = 15081, scanned list = 1130
True: 66, scanned range = 1954, scanned list = 64
True: 35, scanned range = 0, scanned list = 35
True: 10810, scanned range = 352055, scanned list = 9554
True: 7, scanned range = 0, scanned list = 7
True: 140, scanned range = 1147, scanned list = 138
True: 5146741, scanned range = 194062987, scanned list = 0
True: 25, scanned range = 1763, scanned list = 23
True: 3, scanned range = 0, scanned list = 3
True: 1, scanned range = 0, scanned list = 1
True: 5, scanned range = 0, scanned list = 5
True: 68, scanned range = 1106, scanned list = 67
True: 41, scanned range = 0, scanned list = 41
True: 300, scanned range = 11835, scanned list = 289
True: 23, scanned range = 0, scanned list = 23
True: 192364373, scanned range = 194069482, scanned list = 0
True: 129, scanned range = 3574, scanned list = 122
True: 1554, scanned range = 30601, scanned list = 1517
True: 157, scanned range = 1837, scanned list = 154
True: 4, scanned range = 0, scanned list = 4
True: 29, scanned range = 0, scanned list = 29
True: 193798893, scanned range = 194069507, scanned list = 0
True: 211, scanned range = 5356, scanned list = 204
True: 4, scanned range = 0, scanned list = 4
True: 7, scanned range = 0, scanned list = 7
True: 138, scanned range = 1147, scanned list = 136
True: 5, scanned range = 0, scanned list = 5
True: 1025, scanned range = 12677, scanned list = 1011
True: 9, scanned range = 0, scanned list = 9
True: 36, scanned range = 697, scanned list = 35
True: 1290, scanned range = 19351, scanned list = 1270
True: 1370, scanned range = 21898, scanned list = 1343
True: 140, scanned range = 1147, scanned list = 138
True: 1357, scanned range = 21898, scanned list = 1330
True: 20, scanned range = 0, scanned list = 20
True: 1488, scanned range = 24202, scanned list = 1454
True: 181, scanned range = 4169, scanned list = 173
True: 144, scanned range = 1147, scanned list = 142
True: 4, scanned range = 0, scanned list = 4
True: 1447, scanned range = 23035, scanned list = 1417
True: 24, scanned range = 0, scanned list = 24
True: 5, scanned range = 0, scanned list = 5
True: 21, scanned range = 816, scanned list = 20
True: 1455, scanned range = 23035, scanned list = 1425
True: 55, scanned range = 1763, scanned list = 53
True: 48, scanned range = 8, scanned list = 47
True: 1146, scanned range = 13050, scanned list = 1132
True: 150, scanned range = 2943, scanned list = 146
True: 8174, scanned range = 342982, scanned list = 7232
True: 56, scanned range = 1763, scanned list = 54
True: 1362, scanned range = 39882, scanned list = 1296
True: 34, scanned range = 1755, scanned list = 34
True: 3793546, scanned range = 194062987, scanned list = 0
True: 287, scanned range = 8121, scanned list = 275
True: 25, scanned range = 0, scanned list = 25
True: 159, scanned range = 1837, scanned list = 156
True: 1147, scanned range = 27609, scanned list = 1107
True: 129, scanned range = 3574, scanned list = 122
True: 288, scanned range = 6502, scanned list = 277
True: 150, scanned range = 2943, scanned list = 146
True: 34, scanned range = 697, scanned list = 33
True: 193884232, scanned range = 194069508, scanned list = 0
True: 3, scanned range = 0, scanned list = 3
True: 201, scanned range = 5188, scanned list = 193
True: 936, scanned range = 11231, scanned list = 922
True: 70, scanned range = 1106, scanned list = 69
True: 21, scanned range = 0, scanned list = 21
True: 2194, scanned range = 53907, scanned list = 2098
True: 1479, scanned range = 46490, scanned list = 1406
True: 1488, scanned range = 24202, scanned list = 1454
True: 68, scanned range = 460, scanned list = 67
True: 22050266, scanned range = 194067530, scanned list = 0
True: 3, scanned range = 0, scanned list = 3
True: 1822, scanned range = 47805, scanned list = 1766
True: 287, scanned range = 5962, scanned list = 277
True: 141, scanned range = 1147, scanned list = 139
True: 133, scanned range = 5733, scanned list = 124
True: 288, scanned range = 7083, scanned list = 278
True: 193584794, scanned range = 194069499, scanned list = 0
True: 140, scanned range = 1147, scanned list = 138
True: 181, scanned range = 4169, scanned list = 173
True: 135, scanned range = 2327, scanned list = 132
True: 13, scanned range = 0, scanned list = 13
True: 1500, scanned range = 46490, scanned list = 1424
True: 455512, scanned range = 21185901, scanned list = 148754
True: 6, scanned range = 0, scanned list = 6
True: 83056, scanned range = 2088310, scanned list = 45898
True: 41, scanned range = 0, scanned list = 41
True: 71, scanned range = 460, scanned list = 70
True: 287, scanned range = 8121, scanned list = 275
True: 66, scanned range = 1106, scanned list = 65
True: 138, scanned range = 1147, scanned list = 136
True: 6, scanned range = 0, scanned list = 6
True: 23, scanned range = 0, scanned list = 23
True: 28964, scanned range = 1372743, scanned list = 19840
True: 25, scanned range = 816, scanned list = 24
True: 292, scanned range = 7268, scanned list = 282
True: 289, scanned range = 5962, scanned list = 279
True: 193875023, scanned range = 194069508, scanned list = 0
True: 219, scanned range = 5356, scanned list = 211
True: 68, scanned range = 1106, scanned list = 67
True: 194, scanned range = 5034, scanned list = 187
True: 56, scanned range = 0, scanned list = 56
True: 11, scanned range = 0, scanned list = 11
True: 2294, scanned range = 53907, scanned list = 2194
True: 17, scanned range = 0, scanned list = 17
True: 39847, scanned range = 1368367, scanned list = 26139
True: 1330, scanned range = 21320, scanned list = 1304
True: 61615, scanned range = 2084624, scanned list = 37207
True: 288, scanned range = 7083, scanned list = 278
True: 880, scanned range = 10612, scanned list = 867
True: 53, scanned range = 1763, scanned list = 51
True: 66, scanned range = 1954, scanned list = 64
True: 3, scanned range = 0, scanned list = 3
True: 176, scanned range = 3759, scanned list = 169
True: 7457173, scanned range = 194063554, scanned list = 0
True: 151, scanned range = 2943, scanned list = 147
True: 16, scanned range = 0, scanned list = 16
True: 288, scanned range = 7083, scanned list = 278
True: 7333050, scanned range = 194063554, scanned list = 0
True: 35, scanned range = 0, scanned list = 35
True: 57, scanned range = 0, scanned list = 57
True: 1699, scanned range = 44683, scanned list = 1620
True: 22, scanned range = 0, scanned list = 22
True: 2117, scanned range = 50453, scanned list = 2037
True: 66, scanned range = 1954, scanned list = 64
True: 1343, scanned range = 38924, scanned list = 1278
True: 57, scanned range = 0, scanned list = 57
True: 1162, scanned range = 31294, scanned list = 1115
True: 141, scanned range = 1147, scanned list = 139
True: 219, scanned range = 5356, scanned list = 211
True: 2, scanned range = 0, scanned list = 2
True: 6081827, scanned range = 194063554, scanned list = 0
True: 5, scanned range = 0, scanned list = 5
True: 1515, scanned range = 24941, scanned list = 1481
True: 5, scanned range = 0, scanned list = 5
True: 141, scanned range = 798, scanned list = 139
True: 16940099, scanned range = 194067415, scanned list = 0
True: 13178, scanned range = 756506, scanned list = 10595
True: 2077, scanned range = 46612, scanned list = 1999
True: 64, scanned range = 2327, scanned list = 63
True: 140, scanned range = 1147, scanned list = 138
True: 22248, scanned range = 855955, scanned list = 17125
True: 70965, scanned range = 2086216, scanned list = 40981
True: 19958, scanned range = 852865, scanned list = 15425
True: 180, scanned range = 4169, scanned list = 172
True: 87445, scanned range = 2088889, scanned list = 48408
True: 35, scanned range = 0, scanned list = 35
True: 5, scanned range = 0, scanned list = 5
True: 128, scanned range = 3740, scanned list = 122
True: 131, scanned range = 1147, scanned list = 129
True: 123, scanned range = 3574, scanned list = 116
True: 61597, scanned range = 2084624, scanned list = 37206
